ngc_bmu_id,2016,2017,2018,2019,2020
SEAB-2,1414656.876,2695492.674,2053565.534,1838149.218,1330866.654
SHBA-1,2703088.998,1808613.88,3902181.456,5517909.362,8743695.132
SHBA-2,2291903.85,3968162.442,2774741.08,4851128.398,5780268.572
SHOS-1,4311501.332,4930342.002,1842228.74,368978.806,1480280.078
SHRSO-1,1050598.726,1166973.814,1050783.538,1080035.776,1177395.474
SHRSO-2,1031510.224,1110802.454,1058136.926,1065004.984,1150757.086
SIZB-1,8604066.98,8809857.26,9054837.54,8539087.65,9236343.78
SIZB-2,8630748.02,8792922.67,8773846.59,8364806.29,7615441.38
SLOY-1,86119.508,37903.72,98340.632,87372.63,86028.528
SLOY-2,86159.72,138426.95,29137.338,83669.766,90479.58
SLOY-3,8626.868,4629.924,62112.618,47202.538,87681.38
SLOY-4,62310.376,106333.564,75634.86,30987.37,39209.18
SPLN-1,9301287.3,7121457.9,5556521.0,8948349.1,6893525.7
STAY-1,5306761.2,4050905.4,3316022.9,4763241.9,2519338.4
STAY-2,4802876.4,3531357.1,4451168.0,4225128.5,2427561.0
STAY-3,4934641.9,4164101.1,4299420.7,4714074.0,2656965.5
STAY-4,5087913.0,3134719.8,3747214.7,5046446.3,2730364.9
STLGW-1,0.0,0.0,204550.342,366025.218,279312.146
STLGW-2,0.0,0.0,266203.436,428585.728,316161.07
STLGW-3,0.0,0.0,113142.74,383310.608,277488.708
STRNW-1,0.0,0.0,0.0,221355.244,189307.534
SUTB-1,4396229.8,5023437.8,3246465.8,3960862.6,1318144.8
SVRP-10,3933277.6,4145310.4,3208859.1,2349403.8,1529550.5
SVRP-20,3761999.6,3972311.7,2715069.9,1348502.3,736307.4
TAYL2G,7145.586,8748.598,8096.044,1058.134,1691.0900000000001
TAYL3G,5739.454,7055.428,6787.164,589.138,2791.12
TDBNW-1,119447.358,144761.592,130088.696,136412.002,155331.342
TLYMW-1,0.0,0.0,0.0,45520.242,59717.366
TORN-1,10370178.232,8516789.72,9787739.448,10453405.736,10358419.056
TORN-2,10422451.172,10152017.668,7390727.784,10591098.84,10301482.896
